,Ligand,Concentration,Animal,Cell,Predicted
122,hIL4,-10.931531071779263,Human,Monocyte,0.4056330332724364
123,hIL4,-10.90707078318729,Human,Monocyte,0.41927549789315327
124,hIL4,-10.882610494595317,Human,Monocyte,0.4330424832204886
125,hIL4,-10.858150206003344,Human,Monocyte,0.44691362335482
126,hIL4,-10.83368991741137,Human,Monocyte,0.4608679117161101
127,hIL4,-10.809229628819399,Human,Monocyte,0.47488382503028986
128,hIL4,-10.784769340227424,Human,Monocyte,0.48893945408057393
129,hIL4,-10.760309051635451,Human,Monocyte,0.5030126395655151
130,hIL4,-10.735848763043478,Human,Monocyte,0.5170811112906026
131,hIL4,-10.711388474451505,Human,Monocyte,0.5311226288441839
132,hIL4,-10.686928185859532,Human,Monocyte,0.5451151218745767
133,hIL4,-10.662467897267558,Human,Monocyte,0.5590368280943457
134,hIL4,-10.638007608675585,Human,Monocyte,0.5728664271896511
135,hIL4,-10.613547320083612,Human,Monocyte,0.5865831689055329
136,hIL4,-10.589087031491639,Human,Monocyte,0.6001669937086745
137,hIL4,-10.564626742899666,Human,Monocyte,0.6135986445933078
138,hIL4,-10.540166454307691,Human,Monocyte,0.6268597687878287
139,hIL4,-10.515706165715718,Human,Monocyte,0.6399330083332632
140,hIL4,-10.491245877123745,Human,Monocyte,0.6528020787324
141,hIL4,-10.466785588531772,Human,Monocyte,0.665451835108749
142,hIL4,-10.4423252999398,Human,Monocyte,0.677868325542312
143,hIL4,-10.417865011347825,Human,Monocyte,0.6900388314947405
144,hIL4,-10.393404722755852,Human,Monocyte,0.701951895445535
145,hIL4,-10.368944434163879,Human,Monocyte,0.7135973360714787
146,hIL4,-10.344484145571906,Human,Monocyte,0.7249662514833719
147,hIL4,-10.320023856979933,Human,Monocyte,0.7360510111942643
148,hIL4,-10.295563568387958,Human,Monocyte,0.7468452376272321
149,hIL4,-10.271103279795986,Human,Monocyte,0.7573437780774038
150,hIL4,-10.246642991204013,Human,Monocyte,0.7675426681221865
151,hIL4,-10.22218270261204,Human,Monocyte,0.777439087526066
152,hIL4,-10.197722414020067,Human,Monocyte,0.7870313097134171
153,hIL4,-10.173262125428092,Human,Monocyte,0.796318645886345
154,hIL4,-10.148801836836121,Human,Monocyte,0.8053013848465898
155,hIL4,-10.124341548244146,Human,Monocyte,0.8139807295475835
156,hIL4,-10.099881259652173,Human,Monocyte,0.8223587313453378
157,hIL4,-10.0754209710602,Human,Monocyte,0.8304382228622749
158,hIL4,-10.050960682468228,Human,Monocyte,0.838222750297843
159,hIL4,-10.026500393876255,Human,Monocyte,0.8457165059443374
160,hIL4,-10.00204010528428,Human,Monocyte,0.8529242615817882
161,hIL4,-9.977579816692307,Human,Monocyte,0.8598513033408576
162,hIL4,-9.953119528100334,Human,Monocyte,0.8665033685379997
163,hIL4,-9.928659239508361,Human,Monocyte,0.872886584904464
164,hIL4,-9.904198950916388,Human,Monocyte,0.8790074125516517
165,hIL4,-9.879738662324414,Human,Monocyte,0.8848725889407885
166,hIL4,-9.85527837373244,Human,Monocyte,0.8904890770558447
167,hIL4,-9.830818085140468,Human,Monocyte,0.895864016915682
168,hIL4,-9.806357796548495,Human,Monocyte,0.9010046805031399
169,hIL4,-9.781897507956522,Human,Monocyte,0.9059184301456471
